@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,4,13,7,7,1,1,0,1,1,9,False,False,False,False,3,10,7,12,-4,North,North,195
4,3,14,8,6,-1,0,6,6,1,8,False,False,False,False,3,10,6,13,195,North,East,194
4,3,13,9,5,-1,0,5,5,1,7,False,False,False,False,4,9,6,13,194,East,South,193
4,3,12,10,4,-1,0,4,4,1,6,False,False,False,False,5,8,6,8,193,South,South,192
4,3,11,11,3,-1,0,3,3,1,5,False,False,False,False,6,7,6,13,192,South,South,191
4,3,10,12,2,-1,0,2,2,1,6,False,False,False,False,7,6,6,13,191,South,South,190
4,3,9,13,1,-1,0,1,1,1,7,False,False,False,False,8,5,6,13,190,South,South,389
4,2,8,14,-1,-1,8,0,8,1,8,False,False,False,False,9,4,6,13,389,South,South,388
4,2,7,13,-1,-1,7,0,7,1,9,False,False,False,False,9,4,7,12,388,South,West,387
4,2,6,12,-1,-1,6,0,6,1,10,False,False,False,False,9,4,8,11,387,West,West,386
4,2,5,11,-1,-1,5,0,5,1,11,False,False,False,False,9,4,9,10,386,West,West,385
4,2,4,10,-1,-1,4,0,4,1,12,False,False,False,False,9,4,10,9,385,West,West,384
4,2,3,9,-1,-1,3,0,3,1,13,False,False,False,False,9,4,11,8,384,West,West,383
4,2,2,8,-1,-1,2,0,2,1,14,False,False,False,False,9,4,12,7,383,West,West,382
4,2,1,7,-1,-1,1,0,1,1,15,False,False,False,False,9,4,13,6,382,West,West,581
4,1,-1,6,-1,-1,0,6,6,1,16,False,False,False,False,4,4,14,5,581,West,West,580
4,1,-1,5,-1,-1,0,5,5,1,15,False,False,False,False,3,5,14,5,580,West,North,579
4,1,-1,4,-1,-1,0,4,4,1,14,False,False,False,False,2,6,14,5,579,North,North,578
4,1,-1,3,-1,-1,0,3,3,1,13,True,False,False,False,1,7,14,5,578,North,North,577
4,1,-1,4,-1,-1,1,3,4,1,12,False,False,False,False,6,7,13,6,577,North,East,576
4,1,-1,3,-1,-1,1,2,3,1,13,False,False,False,True,5,8,13,1,576,East,North,575
4,1,-1,2,-1,-1,1,1,2,1,14,False,False,False,False,4,9,13,6,575,North,North,574
4,4,5,5,11,13,3,2,5,0,-1,True,True,False,False,1,1,16,3,-4,East,East,-5
4,4,4,4,10,12,2,2,4,0,-1,True,True,False,False,1,1,15,4,-5,East,East,-6
4,4,3,3,9,11,1,2,3,0,-1,True,True,False,False,1,1,14,5,-6,East,East,-7
4,4,2,2,8,10,0,2,2,0,-1,True,True,False,False,1,1,13,6,-7,East,East,-8
4,4,3,1,7,9,1,0,1,0,-1,True,False,False,False,1,4,12,7,-8,East,East,191
4,3,4,-1,6,8,2,2,4,0,-1,True,True,False,False,1,1,11,8,191,East,East,190
4,3,3,-1,7,9,1,2,3,0,-1,True,False,False,False,1,4,12,7,190,East,West,189
4,3,2,-1,6,10,1,1,2,0,-1,False,False,True,True,2,3,1,1,189,West,South,188
4,3,1,-1,5,11,1,0,1,0,-1,False,False,False,False,3,2,12,7,188,South,South,387
4,2,-1,-1,6,12,5,1,6,0,-1,True,False,False,False,1,2,13,6,387,South,West,386
4,2,-1,-1,5,11,4,1,5,0,-1,False,False,False,False,3,2,12,7,386,West,East,385
4,2,-1,-1,4,10,3,1,4,0,-1,True,False,False,False,1,2,11,8,385,East,East,384
4,2,-1,-1,3,9,2,1,3,0,-1,True,False,False,False,1,2,10,9,384,East,East,383
4,2,-1,-1,2,8,1,1,2,0,-1,True,False,False,False,1,2,9,10,383,East,East,382
4,2,-1,-1,1,7,0,1,1,0,-1,True,False,False,False,1,2,8,11,382,East,East,581
4,1,-1,-1,-1,8,5,3,8,0,-1,False,True,False,False,2,1,8,11,581,East,South,580
4,1,-1,-1,-1,7,5,2,7,0,-1,True,False,False,False,1,2,8,11,580,South,North,579
4,1,-1,-1,-1,6,4,2,6,0,-1,True,False,False,False,1,2,7,12,579,North,East,578
4,1,-1,-1,-1,5,3,2,5,0,-1,True,False,False,False,1,2,6,13,578,East,East,577
4,1,-1,-1,-1,4,2,2,4,0,-1,False,False,False,False,3,2,5,14,577,East,East,576
4,1,-1,-1,-1,3,1,2,3,0,-1,True,False,False,False,1,2,4,15,576,East,East,575
4,1,-1,-1,-1,2,0,2,2,0,-1,False,False,False,False,3,2,3,16,575,East,East,574
4,4,11,23,26,27,4,7,11,0,-1,False,False,False,True,3,14,17,1,-3,South,South,-4
4,4,10,22,25,26,4,6,10,0,-1,False,False,False,True,4,13,17,1,-4,South,South,-5
4,4,9,21,24,25,4,5,9,0,-1,False,False,False,True,5,12,10,1,-5,South,South,-6
4,4,8,20,23,24,4,4,8,0,-1,False,False,True,True,6,11,1,1,-6,South,South,-7
4,4,7,19,22,25,4,3,7,0,-1,False,False,False,True,7,10,20,1,-7,South,South,-8
4,4,6,18,21,26,4,2,6,0,-1,False,False,True,True,8,9,1,1,-8,South,South,-9
4,4,5,17,20,27,4,1,5,0,-1,False,False,True,True,9,8,1,1,-9,South,South,-10
4,4,4,16,19,28,4,0,4,0,-1,False,False,True,True,10,7,1,1,-10,South,South,-11
4,4,5,15,18,29,4,1,5,0,-1,False,False,True,True,11,6,1,1,-11,South,South,-12
4,4,6,14,17,30,4,2,6,0,-1,False,False,True,True,12,5,1,1,-12,South,South,-13
4,4,7,13,16,31,4,3,7,0,-1,False,False,False,True,13,4,11,1,-13,South,South,-14
4,4,6,12,15,30,3,3,6,0,-1,True,False,False,False,1,4,10,2,-14,South,East,-15
4,4,5,11,14,29,2,3,5,0,-1,False,False,False,False,5,4,9,3,-15,East,East,-16
4,4,4,10,13,28,1,3,4,0,-1,False,False,False,False,5,4,8,4,-16,East,East,-17
4,4,3,9,12,27,0,3,3,0,-1,False,False,False,False,5,4,7,5,-17,East,East,-18
4,4,2,10,13,26,0,2,2,0,-1,False,False,False,False,4,5,2,3,-18,East,North,-19
4,4,1,11,14,25,0,1,1,0,-1,False,False,False,False,3,6,2,3,-19,North,North,180
4,3,-1,12,15,24,6,6,12,0,-1,False,False,False,False,2,7,2,3,180,North,North,179
4,3,-1,13,16,23,6,7,13,0,-1,True,False,False,False,1,8,2,3,179,North,North,178
4,3,-1,12,15,24,6,6,12,0,-1,False,False,False,False,2,7,2,3,178,North,South,177
4,3,-1,11,14,25,6,5,11,0,-1,False,False,False,False,3,6,2,3,177,South,South,176
4,3,-1,10,13,26,6,4,10,0,-1,False,False,False,False,4,5,2,3,176,South,South,175
4,3,-1,9,12,27,6,3,9,0,-1,False,False,False,False,5,4,7,5,175,South,South,174
4,3,-1,8,13,28,6,2,8,0,-1,False,False,True,False,6,3,1,5,174,South,South,173
